,edge,source,target,entry_ts,duration,exit_ts
0,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowerssocialgraph_tp:GetFollowers_args_FUNC_read,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowers,socialgraph_tp:GetFollowers_args_FUNC_read,1660849512460847936,1789516,1660849512460860243
1,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowerssocialgraph_tp:GetFollowers_result_FUNC_write,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowers,socialgraph_tp:GetFollowers_result_FUNC_write,1660849512462497992,1789516,1660849512462504428
2,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCallsocialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowers,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCall,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowers,1660849512460842895,1803502,1660849512462632411
3,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCallsocialgraph_tp:SocialGraphServiceProcessor_func_dispatchCall,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCall,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCall,1660849512316814421,481059,1660849512318635751
0,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentionsusermention_tp:usermention_UploadUserMentions_args_FUNC_read,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,usermention_tp:usermention_UploadUserMentions_args_FUNC_read,1660849508389800482,3224249,1660849508389811129
1,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentionsmasoum_tp:ComposePostServiceClient_FUNC_UploadUserMentions,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentions,1660849508391709617,3224249,1660849508392840616
2,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentionsusermention_tp:UploadUserMentions_result_FUNC_write2,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,usermention_tp:UploadUserMentions_result_FUNC_write2,1660849508392887125,3224249,1660849508392891874
3,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentionsmasoum_tp:UploadUserMentions_pargs_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,masoum_tp:UploadUserMentions_pargs_FUNC_write,1660849508391721742,83910,1660849508391729381
4,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentionsmasoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,1660849508391714882,1130999,1660849508391798792
5,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentionsmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentions,1660849508391802630,1130999,1660849508392836173
6,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentionsmasoum_tp:UploadUserMentions_presult_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentions,masoum_tp:UploadUserMentions_presult_FUNC_read,1660849508392826583,1033543,1660849508392832370
7,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCallusermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,1660849508389795946,3236013,1660849508393020195
8,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCallusermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,1660849508304929307,3284573,1660849508306014347
0,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_ReadPostspoststorageservice_tp:ReadPost_args_FUNC_read2,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_ReadPosts,poststorageservice_tp:ReadPost_args_FUNC_read2,1660849510635584487,65608,1660849510635588044
