,edge,source,target,entry_ts,duration,exit_ts
0,masoum_tp:UploadMedia_args_FUNC_readsocialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,1660849871076139889,7529,1660849871076141474
1,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,1660849870965912712,12081,1660849870965914022
2,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,1660849870270203745,393287,1660849870270591027
3,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:UploadUniqueId_result_FUNC_write,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadUniqueId_result_FUNC_write,1660849869115371558,562822,1660849869115373236
4,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,1660849870625002749,1110736,1660849870626095065
5,masoum_tp:UploadMedia_args_FUNC_readusertimeline_tp:UserTimelineServiceClient_FUNC_recv_WriteUserTimeline,masoum_tp:UploadMedia_args_FUNC_read,usertimeline_tp:UserTimelineServiceClient_FUNC_recv_WriteUserTimeline,1660849869439467058,7553708,1660849869447013435
6,masoum_tp:UploadMedia_args_FUNC_readpoststorageservice_tp:StorePost_presult_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,poststorageservice_tp:StorePost_presult_FUNC_read,1660849869696669415,17061,1660849869696674145
7,masoum_tp:UploadMedia_args_FUNC_readpoststorageservice_tp:PostStorageServiceClient_FUNC_recv_StorePost,masoum_tp:UploadMedia_args_FUNC_read,poststorageservice_tp:PostStorageServiceClient_FUNC_recv_StorePost,1660849869696675650,17061,1660849869696677346
8,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUrls,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUrls,1660849869729016517,8037281,1660849869737041233
9,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadText,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadText,1660849870155747490,7561707,1660849870163292067
10,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:UploadCreator_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadCreator_args_FUNC_read,1660849870245861362,10046,1660849870245867463
11,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,1660849870415831266,1798161,1660849870417615969
12,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,1660849871053545463,448990,1660849871053981573
13,socialnetworktypes_tp:Media_FUNC_readsocialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,1660849871053547497,436110,1660849871053548640
14,socialnetworktypes_tp:Media_FUNC_readsocialnetworktypes_tp:Url_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Url_FUNC_read,1660849869439478430,9654,1660849869439479595
15,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:UploadCreator_result_FUNC_write,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadCreator_result_FUNC_write,1660849871053703702,436110,1660849871053951007
16,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,1660849870531206394,443653,1660849870531208300
17,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:UploadUserMentions_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadUserMentions_args_FUNC_read,1660849869729033758,8024716,1660849869729041658
18,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:ComposePostServiceClient_FUNC_dispatchCall,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,1660849870531309273,443653,1660849870531514513
19,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:UploadUserMentions_result_FUNC_write,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadUserMentions_result_FUNC_write,1660849869736812865,8024716,1660849869736815533
20,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:UploadUrls_result_FUNC_write,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadUrls_result_FUNC_write,1660849869736990315,8024716,1660849869736993079
21,socialnetworktypes_tp:Media_FUNC_readsocialnetworktypes_tp:Creator_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Creator_FUNC_read,1660849870270209468,5269,1660849870270210446
22,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,1660849870270341047,387282,1660849870270589365
23,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:UploadUniqueId_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadUniqueId_args_FUNC_read,1660849870415845681,11022,1660849870415846206
24,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:UploadCreator_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadCreator_args_FUNC_read,1660849871053548861,436110,1660849871053558775
