,edge,source,target,entry_ts,duration,exit_ts
0,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowerssocialgraph_tp:GetFollowers_args_FUNC_read,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowers,socialgraph_tp:GetFollowers_args_FUNC_read,1660849270247557922,1959755,1660849270247569067
1,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowerssocialgraph_tp:GetFollowers_result_FUNC_write,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowers,socialgraph_tp:GetFollowers_result_FUNC_write,1660849270249379986,1959755,1660849270249384857
2,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCallsocialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowers,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCall,socialgraph_tp:SocialGraphServiceProcessor_func_process_GetFollowers,1660849270247553714,1972882,1660849270249513469
3,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCallsocialgraph_tp:SocialGraphServiceProcessor_func_dispatchCall,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCall,socialgraph_tp:SocialGraphServiceProcessor_func_dispatchCall,1660849270084537304,654377,1660849270086535191
0,socialnetworktypes_tp:Post_FUNC_readsocialnetworktypes_tp:Creator_FUNC_read,socialnetworktypes_tp:Post_FUNC_read,socialnetworktypes_tp:Creator_FUNC_read,1660849268729209040,61833,1660849268729213424
1,socialnetworktypes_tp:Post_FUNC_readsocialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Post_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,1660849268729235250,61833,1660849268729238579
2,socialnetworktypes_tp:Post_FUNC_readsocialnetworktypes_tp:Url_FUNC_read,socialnetworktypes_tp:Post_FUNC_read,socialnetworktypes_tp:Url_FUNC_read,1660849268729258490,61833,1660849268729262259
3,socialnetworktypes_tp:Post_FUNC_readsocialnetworktypes_tp:UserMention_FUNC_read,socialnetworktypes_tp:Post_FUNC_read,socialnetworktypes_tp:UserMention_FUNC_read,1660849267608118022,79723,1660849267608122302
4,poststorageservice_tp:StorePost_args_FUNC_readsocialnetworktypes_tp:Post_FUNC_read,poststorageservice_tp:StorePost_args_FUNC_read,socialnetworktypes_tp:Post_FUNC_read,1660849268729204282,76207,1660849268729266115
5,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_StorePostpoststorageservice_tp:StorePost_args_FUNC_read,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_StorePost,poststorageservice_tp:StorePost_args_FUNC_read,1660849268729197245,1372376,1660849268729273452
6,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_StorePostpoststorageservice_tp:StorePost_result_FUNC_write,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_StorePost,poststorageservice_tp:StorePost_result_FUNC_write,1660849268730460726,1372376,1660849268730465259
7,poststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCallpoststorageservice_tp:PostStorageServiceProcessor_FUNC_process_StorePost,poststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCall,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_StorePost,1660849268729192423,1388400,1660849268730564799
8,poststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCallpoststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCall,poststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCall,poststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCall,1660849268676996175,0,1660849268678354468
9,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_ReadPostspoststorageservice_tp:ReadPost_args_FUNC_read2,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_ReadPosts,poststorageservice_tp:ReadPost_args_FUNC_read2,1660849267921018406,243944,1660849267921030579
