,edge,source,target,entry_ts,duration,exit_ts
0,masoum_tp:UploadMedia_args_FUNC_readsocialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,1660936307876633170,9720,1660936307876634106
1,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,1660936307827073565,395631,1660936307827081205
2,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,1660936307735150016,610306,1660936307735740363
3,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:UploadCreator_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadCreator_args_FUNC_read,1660936307007474662,8014,1660936307007482503
4,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,1660936307635232648,448129,1660936307635670054
5,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,1660936306317244306,1307410,1660936306318548827
6,masoum_tp:UploadMedia_args_FUNC_readsocialnetworktypes_tp:Url_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Url_FUNC_read,1660936306377931043,13247,1660936306377932818
7,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:UploadUniqueId_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadUniqueId_args_FUNC_read,1660936306476470358,3504,1660936306476470829
8,masoum_tp:UploadMedia_args_FUNC_readsocialnetworktypes_tp:Creator_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Creator_FUNC_read,1660936306960789037,4934,1660936306960789894
9,masoum_tp:UploadMedia_args_FUNC_readusertimeline_tp:WriteUserTimeline_presult_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,usertimeline_tp:WriteUserTimeline_presult_FUNC_read,1660936306923045685,13592,1660936306923047512
10,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUrls,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUrls,1660936307771275396,666842,1660936307771937393
11,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,1660936307099754035,425448,1660936307100174425
