,edge,source,target,entry_ts,duration,exit_ts
0,textservice_tp:TextServiceProcessor_FUNC_process_ComposeTexttextservice_tp:UploadText_args_FUNC_read,textservice_tp:TextServiceProcessor_FUNC_process_ComposeText,textservice_tp:UploadText_args_FUNC_read,1660935949079095812,2903715,1660935949079101439
1,textservice_tp:TextServiceProcessor_FUNC_process_ComposeTextmasoum_tp:ComposePostServiceClient_FUNC_UploadText,textservice_tp:TextServiceProcessor_FUNC_process_ComposeText,masoum_tp:ComposePostServiceClient_FUNC_UploadText,1660935949079539699,2903715,1660935949081915945
2,textservice_tp:TextServiceProcessor_FUNC_process_ComposeTexttextservice_tp:UploadText_result_FUNC_write,textservice_tp:TextServiceProcessor_FUNC_process_ComposeText,textservice_tp:UploadText_result_FUNC_write,1660935949081962829,2903715,1660935949081964483
3,textservice_tp:TextServiceProcessor_FUNC_process_ComposeTexturlshorten_tp:UrlShortenServiceClient_FUNC_UploadUrls,textservice_tp:TextServiceProcessor_FUNC_process_ComposeText,urlshorten_tp:UrlShortenServiceClient_FUNC_UploadUrls,1660935947500275350,10842365,1660935947505756292
4,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrlsurlshorten_tp:UploadUrls_pargs_FUNC_write,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrls,urlshorten_tp:UploadUrls_pargs_FUNC_write,1660935949079546501,2370205,1660935949079549461
5,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrlsurlshorten_tp:UrlShortenServiceClient_FUNC_UploadUrls,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrls,urlshorten_tp:UrlShortenServiceClient_FUNC_UploadUrls,1660935949079566053,2370205,1660935949080352140
6,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrlsusermention_tp:UserMentionServiceClient_FUNC_UploadUserMentions,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrls,usermention_tp:UserMentionServiceClient_FUNC_UploadUserMentions,1660935949080482592,2370205,1660935949080571813
7,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrlsmasoum_tp:UploadText_presult_FUNC_read,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrls,masoum_tp:UploadText_presult_FUNC_read,1660935949081909251,2370205,1660935949081912238
8,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrlsurlshorten_tp:UploadUrls_presult_FUNC_read,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrls,urlshorten_tp:UploadUrls_presult_FUNC_read,1660935947505747027,5475684,1660935947505753066
9,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrlsurlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrls,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrls,urlshorten_tp:UrlShortenServiceClient_FUNC_send_UploadUrls,1660935948756067909,2426692,1660935948756068849
