,edge,source,target,entry_ts,duration,exit_ts
0,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallsocialnetworktypes_tp:Media_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,socialnetworktypes_tp:Media_FUNC_read,1660850383548904170,167225,1660850383548905489
1,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,1660850383547496731,167225,1660850383547726052
2,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,1660850383266282000,11308900,1660850383513920187
3,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,1660850383203371066,330270548,1660850383534172505
4,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,1660850383521887292,58876570,1660850383522311734
5,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUrls,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUrls,1660850383474276242,3671921,1660850383474333766
6,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadText,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadText,1660850383547499621,167225,1660850383547724002
7,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadUserMentions_result_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadUserMentions_result_FUNC_write,1660850383470930003,183260755,1660850383470931585
8,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,1660850383265806872,12062010,1660850383514223117
9,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadText_args_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadText_args_FUNC_read,1660850383556192507,28630300,1660850383556196328
10,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadMedia_result_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadMedia_result_FUNC_write,1660850383522530328,636818,1660850383522532428
11,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadUrls_args_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadUrls_args_FUNC_read,1660850383463022628,3015852,1660850383463044665
12,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadUniqueId_result_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadUniqueId_result_FUNC_write,1660850383534132948,330270548,1660850383534134280
13,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallsocialnetworktypes_tp:Url_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,socialnetworktypes_tp:Url_FUNC_read,1660850383555238367,13937170,1660850383555240091
14,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadUrls_result_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadUrls_result_FUNC_write,1660850383474287995,3671921,1660850383474289864
15,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallusertimeline_tp:UserTimelineServiceClient_FUNC_recv_WriteUserTimeline,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,usertimeline_tp:UserTimelineServiceClient_FUNC_recv_WriteUserTimeline,1660850383443951697,221516,1660850383445825166
16,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadCreator_args_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadCreator_args_FUNC_read,1660850383476439768,3671921,1660850383476449363
17,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadCreator_result_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadCreator_result_FUNC_write,1660850383482574190,1609708,1660850383482576199
18,masoum_tp:ComposePostServiceClient_FUNC_dispatchCallmasoum_tp:UploadText_result_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:UploadText_result_FUNC_write,1660850383547678776,167225,1660850383547680545
