,edge,source,target,entry_ts,duration,exit_ts
0,socialnetworktypes_tp:Post_FUNC_writesocialnetworktypes_tp:Creator_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,1660850508592514830,24007,1660850508592516515
1,socialnetworktypes_tp:Post_FUNC_writesocialnetworktypes_tp:Media_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Media_FUNC_write,1660850508592519507,24007,1660850508592520945
2,socialnetworktypes_tp:Post_FUNC_writesocialnetworktypes_tp:Url_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Url_FUNC_write,1660850508501963072,24803,1660850508501964412
3,socialnetworktypes_tp:Post_FUNC_writepoststorageservice_tp:StorePost_pargs_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,poststorageservice_tp:StorePost_pargs_FUNC_write,1660850508588640341,10399,1660850508588655080
4,socialnetworktypes_tp:Post_FUNC_writeusertimeline_tp:UserTimelineServiceClient_FUNC_recv_WriteUserTimeline,socialnetworktypes_tp:Post_FUNC_write,usertimeline_tp:UserTimelineServiceClient_FUNC_recv_WriteUserTimeline,1660850507456913785,28882,1660850508301130627
5,socialnetworktypes_tp:Post_FUNC_writeusertimeline_tp:WriteUserTimeline_pargs_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,usertimeline_tp:WriteUserTimeline_pargs_FUNC_write,1660850508385029605,17235,1660850508385032154
6,socialnetworktypes_tp:Post_FUNC_writeusertimeline_tp:UserTimelineServiceClient_FUNC_send_WriteUserTimeline,socialnetworktypes_tp:Post_FUNC_write,usertimeline_tp:UserTimelineServiceClient_FUNC_send_WriteUserTimeline,1660850508502004423,24803,1660850508502036035
7,socialnetworktypes_tp:Post_FUNC_writesocialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,1660850508398002057,17235,1660850508398032857
8,socialnetworktypes_tp:Post_FUNC_writeusertimeline_tp:WriteUserTimeline_presult_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,usertimeline_tp:WriteUserTimeline_presult_FUNC_read,1660850508301126741,28882,1660850508301128994
9,socialnetworktypes_tp:Post_FUNC_writepoststorageservice_tp:PostStorageServiceClient_FUNC_send_StorePost,socialnetworktypes_tp:Post_FUNC_write,poststorageservice_tp:PostStorageServiceClient_FUNC_send_StorePost,1660850508575236316,21320,1660850508575300862
10,socialnetworktypes_tp:Post_FUNC_writesocialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Media_FUNC_read,1660850507742744651,21961,1660850507742746296
11,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:UploadMedia_args_FUNC_read,1660850507742740695,21961,1660850507742749356
12,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:UploadText_result_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:UploadText_result_FUNC_write,1660850508388366061,17235,1660850508388367862
13,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:UploadText_args_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:UploadText_args_FUNC_read,1660850508579112056,16501,1660850508579115545
14,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,1660850508398086089,30800,1660850508398243383
15,socialnetworktypes_tp:Post_FUNC_writeusertimeline_tp:UserTimelineServiceClient_FUNC_WriteUserTimeline,socialnetworktypes_tp:Post_FUNC_write,usertimeline_tp:UserTimelineServiceClient_FUNC_WriteUserTimeline,1660850507456867691,28882,1660850508301132511
16,socialnetworktypes_tp:Post_FUNC_writesocialnetworktypes_tp:Url_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Url_FUNC_read,1660850508434266467,23806,1660850508434268821
17,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:UploadUniqueId_args_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:UploadUniqueId_args_FUNC_read,1660850506881432584,16375,1660850506881437652
18,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:ComposePostServiceClient_FUNC_dispatchCall,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,1660850508575233920,21320,1660850508576325592
19,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:UploadUrls_result_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:UploadUrls_result_FUNC_write,1660850508286648276,20697,1660850508286649510
20,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadText,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadText,1660850508469705981,14957,1660850508469770185
21,socialnetworktypes_tp:Post_FUNC_writesocialnetworktypes_tp:Creator_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Creator_FUNC_read,1660850508508372713,20222,1660850508508374502
22,socialnetworktypes_tp:Post_FUNC_writepoststorageservice_tp:StorePost_presult_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,poststorageservice_tp:StorePost_presult_FUNC_read,1660850507043542989,18069,1660850507043549200
23,socialnetworktypes_tp:Post_FUNC_writepoststorageservice_tp:PostStorageServiceClient_FUNC_recv_StorePost,socialnetworktypes_tp:Post_FUNC_write,poststorageservice_tp:PostStorageServiceClient_FUNC_recv_StorePost,1660850507096965787,15792,1660850507097798798
24,socialnetworktypes_tp:Post_FUNC_writepoststorageservice_tp:PostStorageServiceClient_FUNC_StorePost,socialnetworktypes_tp:Post_FUNC_write,poststorageservice_tp:PostStorageServiceClient_FUNC_StorePost,1660850507810616143,29993,1660850507822503684
25,socialnetworktypes_tp:Post_FUNC_writesocialnetworktypes_tp:UserMention_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:UserMention_FUNC_read,1660850507387664939,21027,1660850507387666419
26,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:UploadCreator_result_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:UploadCreator_result_FUNC_write,1660850508397996575,30800,1660850508398085200
27,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,1660850507819464596,14992,1660850507819512882
28,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:UploadUserMentions_args_FUNC_read,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:UploadUserMentions_args_FUNC_read,1660850508505377315,24803,1660850508505381194
29,socialnetworktypes_tp:Post_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,socialnetworktypes_tp:Post_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,1660850508575302152,21320,1660850508576322081
30,socialnetworktypes_tp:Creator_FUNC_writesocialnetworktypes_tp:Creator_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,1660850508593715065,1396,1660850508593716461
31,socialnetworktypes_tp:Creator_FUNC_writesocialnetworktypes_tp:Media_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,socialnetworktypes_tp:Media_FUNC_write,1660850508542112252,1434,1660850508542113394
32,socialnetworktypes_tp:Creator_FUNC_writesocialnetworktypes_tp:Url_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,socialnetworktypes_tp:Url_FUNC_write,1660850508542124438,1434,1660850508542125899
33,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,1660850507610811957,1205,1660850507711891829
34,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:ComposePostServiceClient_FUNC_dispatchCall,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,1660850508530169689,1574,1660850508595332579
35,socialnetworktypes_tp:Creator_FUNC_writesocialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Creator_FUNC_write,socialnetworktypes_tp:Media_FUNC_read,1660850507696968580,1192,1660850507696969772
36,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:UploadMedia_args_FUNC_read,1660850508585850739,1574,1660850508585855522
37,socialnetworktypes_tp:Creator_FUNC_writeusertimeline_tp:UserTimelineServiceClient_FUNC_send_WriteUserTimeline,socialnetworktypes_tp:Creator_FUNC_write,usertimeline_tp:UserTimelineServiceClient_FUNC_send_WriteUserTimeline,1660850508220691325,1367,1660850508220735987
38,socialnetworktypes_tp:Creator_FUNC_writesocialnetworktypes_tp:Post_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,socialnetworktypes_tp:Post_FUNC_write,1660850508542103509,1434,1660850508542127311
39,socialnetworktypes_tp:Creator_FUNC_writepoststorageservice_tp:StorePost_pargs_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,poststorageservice_tp:StorePost_pargs_FUNC_write,1660850508226756094,1549,1660850508226784423
40,socialnetworktypes_tp:Creator_FUNC_writepoststorageservice_tp:PostStorageServiceClient_FUNC_send_StorePost,socialnetworktypes_tp:Creator_FUNC_write,poststorageservice_tp:PostStorageServiceClient_FUNC_send_StorePost,1660850508478810519,1554,1660850508478909353
41,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:UploadCreator_result_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:UploadCreator_result_FUNC_write,1660850507037350483,1291,1660850507037352355
42,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:UploadUserMentions_args_FUNC_read,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:UploadUserMentions_args_FUNC_read,1660850506699213993,1373,1660850506699218126
43,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:UploadUniqueId_result_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:UploadUniqueId_result_FUNC_write,1660850507611631810,1205,1660850507711853413
44,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,1660850508567312672,1434,1660850508567368130
45,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:UploadText_args_FUNC_read,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:UploadText_args_FUNC_read,1660850507752023483,1554,1660850507752028325
46,socialnetworktypes_tp:Creator_FUNC_writeusertimeline_tp:WriteUserTimeline_pargs_FUNC_write,socialnetworktypes_tp:Creator_FUNC_write,usertimeline_tp:WriteUserTimeline_pargs_FUNC_write,1660850508220696635,1367,1660850508220698809
47,socialnetworktypes_tp:Creator_FUNC_writepoststorageservice_tp:StorePost_presult_FUNC_read,socialnetworktypes_tp:Creator_FUNC_write,poststorageservice_tp:StorePost_presult_FUNC_read,1660850508543997883,1434,1660850508544002604
48,socialnetworktypes_tp:Creator_FUNC_writepoststorageservice_tp:PostStorageServiceClient_FUNC_recv_StorePost,socialnetworktypes_tp:Creator_FUNC_write,poststorageservice_tp:PostStorageServiceClient_FUNC_recv_StorePost,1660850508542162044,1434,1660850508544005271
49,socialnetworktypes_tp:Creator_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,socialnetworktypes_tp:Creator_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,1660850506796838320,1761,1660850506898439232
