,edge,source,target,entry_ts,duration,exit_ts
0,masoum_tp:UploadMedia_args_FUNC_readsocialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,1660849629062286086,66080,1660849629062290380
1,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,1660849628263939372,7822,1660849628263946581
2,masoum_tp:UploadMedia_args_FUNC_readmasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,masoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUserMentions,1660849628586052007,34763,1660849628586081489
3,socialnetworktypes_tp:Media_FUNC_readsocialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,1660849628586052014,29482,1660849628586053433
4,socialnetworktypes_tp:Media_FUNC_readmasoum_tp:UploadMedia_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadMedia_args_FUNC_read,1660849628586054032,29482,1660849628586063464
5,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:UploadMedia_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:UploadMedia_args_FUNC_read,1660849629062234334,0,1660849629062300414
6,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,1660849629075482249,0,1660849629075998116
7,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:UploadUniqueId_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:UploadUniqueId_result_FUNC_write,1660849628839275387,2044864,1660849628839280053
8,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:UploadUrls_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:UploadUrls_args_FUNC_read,1660849627859683732,764863,1660849627859706504
9,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:UploadUrls_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:UploadUrls_result_FUNC_write,1660849628328820296,4085968,1660849628328824920
10,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:UploadUserMentions_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:UploadUserMentions_result_FUNC_write,1660849627307930248,9242772,1660849627307933467
11,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediausertimeline_tp:UserTimelineServiceClient_FUNC_WriteUserTimeline,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,usertimeline_tp:UserTimelineServiceClient_FUNC_WriteUserTimeline,1660849628076623007,24877487,1660849628082374829
12,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:UploadText_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:UploadText_result_FUNC_write,1660849628082549177,24877487,1660849628082555054
13,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:UploadCreator_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:UploadCreator_result_FUNC_write,1660849628424487751,1273311,1660849628424493527
14,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediapoststorageservice_tp:PostStorageServiceClient_FUNC_StorePost,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,poststorageservice_tp:PostStorageServiceClient_FUNC_StorePost,1660849629077998693,0,1660849629079385288
15,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediamasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,1660849628263937232,618892,1660849628264537377
16,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMediausertimeline_tp:WriteUserTimeline_presult_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,usertimeline_tp:WriteUserTimeline_presult_FUNC_read,1660849628593323397,7279821,1660849628593325344
17,masoum_tp:UploadCreator_args_FUNC_readsocialnetworktypes_tp:Creator_FUNC_read,masoum_tp:UploadCreator_args_FUNC_read,socialnetworktypes_tp:Creator_FUNC_read,1660849629062577516,24870,1660849629062583192
18,masoum_tp:UploadCreator_args_FUNC_readsocialnetworktypes_tp:Media_FUNC_read,masoum_tp:UploadCreator_args_FUNC_read,socialnetworktypes_tp:Media_FUNC_read,1660849628263941671,7209,1660849628263944387
19,socialnetworktypes_tp:Creator_FUNC_readsocialnetworktypes_tp:Creator_FUNC_read,socialnetworktypes_tp:Creator_FUNC_read,socialnetworktypes_tp:Creator_FUNC_read,1660849628263942843,2716,1660849628263943160
20,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatormasoum_tp:UploadCreator_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:UploadCreator_args_FUNC_read,1660849629062568202,12611072,1660849629062593072
21,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatormasoum_tp:ComposePostServiceClient_FUNC_dispatchCall,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:ComposePostServiceClient_FUNC_dispatchCall,1660849629063694226,12611072,1660849629074665903
22,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatormasoum_tp:UploadCreator_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:UploadCreator_result_FUNC_write,1660849628948230972,1125220,1660849628948236189
23,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatormasoum_tp:UploadMedia_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:UploadMedia_result_FUNC_write,1660849629074937303,12611072,1660849629074941265
24,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatormasoum_tp:UploadUniqueId_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:UploadUniqueId_result_FUNC_write,1660849628264394792,600145,1660849628264397231
25,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatormasoum_tp:UploadUserMentions_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:UploadUserMentions_result_FUNC_write,1660849627531128560,23384055,1660849627531133484
26,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatorusertimeline_tp:WriteUserTimeline_presult_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,usertimeline_tp:WriteUserTimeline_presult_FUNC_read,1660849627878390791,560926,1660849627878394074
27,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatormasoum_tp:UploadUrls_result_FUNC_write,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:UploadUrls_result_FUNC_write,1660849628593184459,7113355,1660849628593186535
28,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreatormasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,1660849628948369524,1125220,1660849628948370577
29,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueIdmasoum_tp:UploadUniqueId_args_FUNC_read,masoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,masoum_tp:UploadUniqueId_args_FUNC_read,1660849629063710374,10958586,1660849629063722816
